Episode 237/400 | Steps 728 | Raw 0.0 | Shaped 72.80 | Eps 0.2280
Episode 238/400 | Steps 1048 | Raw 0.0 | Shaped 104.80 | Eps 0.2253
Episode 239/400 | Steps 1278 | Raw 0.0 | Shaped 127.80 | Eps 0.2213
Episode 240/400 | Steps 1482 | Raw 0.0 | Shaped 148.20 | Eps 0.2164
Eval ep 240: mean 900.3 | [711, 1159, 831]
Episode 241/400 | Steps 502 | Raw 0.0 | Shaped 50.20 | Eps 0.2108
Episode 242/400 | Steps 780 | Raw 0.0 | Shaped 78.00 | Eps 0.2089
Episode 243/400 | Steps 1065 | Raw 0.0 | Shaped 106.50 | Eps 0.2059
Episode 244/400 | Steps 1326 | Raw 0.0 | Shaped 132.60 | Eps 0.2019
Episode 245/400 | Steps 778 | Raw 0.0 | Shaped 77.80 | Eps 0.1968
Episode 246/400 | Steps 636 | Raw 0.0 | Shaped 63.60 | Eps 0.1939
Episode 247/400 | Steps 748 | Raw 0.0 | Shaped 74.80 | Eps 0.1915
Episode 248/400 | Steps 562 | Raw 0.0 | Shaped 56.20 | Eps 0.1886
Episode 249/400 | Steps 676 | Raw 0.0 | Shaped 67.60 | Eps 0.1865
Episode 250/400 | Steps 448 | Raw 0.0 | Shaped 44.80 | Eps 0.1839
Eval ep 250: mean 483.3 | [448, 523, 479]
Episode 251/400 | Steps 1005 | Raw 0.0 | Shaped 100.50 | Eps 0.1822
Episode 252/400 | Steps 977 | Raw 0.0 | Shaped 97.70 | Eps 0.1784
Episode 253/400 | Steps 1019 | Raw 0.0 | Shaped 101.90 | Eps 0.1747
Episode 254/400 | Steps 1082 | Raw 0.0 | Shaped 108.20 | Eps 0.1708
Episode 255/400 | Steps 980 | Raw 0.0 | Shaped 98.00 | Eps 0.1667
Episode 256/400 | Steps 780 | Raw 0.0 | Shaped 78.00 | Eps 0.1630
Episode 257/400 | Steps 678 | Raw 0.0 | Shaped 67.80 | Eps 0.1600
Episode 258/400 | Steps 780 | Raw 0.0 | Shaped 78.00 | Eps 0.1574
Episode 259/400 | Steps 1055 | Raw 0.0 | Shaped 105.50 | Eps 0.1545
Episode 260/400 | Steps 691 | Raw 0.0 | Shaped 69.10 | Eps 0.1505
Eval ep 260: mean 686.3 | [691, 540, 828]
Episode 261/400 | Steps 679 | Raw 0.0 | Shaped 67.90 | Eps 0.1478
Episode 262/400 | Steps 1127 | Raw 0.0 | Shaped 112.70 | Eps 0.1453
Episode 263/400 | Steps 730 | Raw 0.0 | Shaped 73.00 | Eps 0.1410
Episode 264/400 | Steps 1242 | Raw 0.0 | Shaped 124.20 | Eps 0.1382
Episode 265/400 | Steps 1068 | Raw 0.0 | Shaped 106.80 | Eps 0.1335
Episode 266/400 | Steps 1545 | Raw 0.0 | Shaped 154.50 | Eps 0.1294
Episode 267/400 | Steps 2558 | Raw 0.0 | Shaped 255.80 | Eps 0.1236
Episode 268/400 | Steps 469 | Raw 0.0 | Shaped 46.90 | Eps 0.1138
Episode 269/400 | Steps 780 | Raw 0.0 | Shaped 78.00 | Eps 0.1121
Episode 270/400 | Steps 783 | Raw 0.0 | Shaped 78.30 | Eps 0.1091
Eval ep 270: mean 1065.7 | [1550, 434, 1213]
Episode 271/400 | Steps 941 | Raw 0.0 | Shaped 94.10 | Eps 0.1061
Episode 272/400 | Steps 1052 | Raw 0.0 | Shaped 105.20 | Eps 0.1025
Episode 273/400 | Steps 772 | Raw 0.0 | Shaped 77.20 | Eps 0.0985
Episode 274/400 | Steps 891 | Raw 0.0 | Shaped 89.10 | Eps 0.0956
Episode 275/400 | Steps 846 | Raw 0.0 | Shaped 84.60 | Eps 0.0922
Episode 276/400 | Steps 780 | Raw 0.0 | Shaped 78.00 | Eps 0.0890
Episode 277/400 | Steps 937 | Raw 0.0 | Shaped 93.70 | Eps 0.0860
Episode 278/400 | Steps 1550 | Raw 0.0 | Shaped 155.00 | Eps 0.0825
Episode 279/400 | Steps 708 | Raw 0.0 | Shaped 70.80 | Eps 0.0766
Episode 280/400 | Steps 1285 | Raw 0.0 | Shaped 128.50 | Eps 0.0739
Eval ep 280: mean 604.3 | [678, 412, 723]
Episode 281/400 | Steps 850 | Raw 0.0 | Shaped 85.00 | Eps 0.0690
Episode 282/400 | Steps 994 | Raw 0.0 | Shaped 99.40 | Eps 0.0658
Episode 283/400 | Steps 994 | Raw 0.0 | Shaped 99.40 | Eps 0.0620
Episode 284/400 | Steps 473 | Raw 0.0 | Shaped 47.30 | Eps 0.0582
Episode 285/400 | Steps 1069 | Raw 0.0 | Shaped 106.90 | Eps 0.0564
Episode 286/400 | Steps 784 | Raw 0.0 | Shaped 78.40 | Eps 0.0524
Episode 287/400 | Steps 698 | Raw 0.0 | Shaped 69.80 | Eps 0.0500
Episode 288/400 | Steps 786 | Raw 0.0 | Shaped 78.60 | Eps 0.0500
Episode 289/400 | Steps 689 | Raw 0.0 | Shaped 68.90 | Eps 0.0500
Episode 290/400 | Steps 954 | Raw 0.0 | Shaped 95.40 | Eps 0.0500
Eval ep 290: mean 1078.0 | [1267, 1074, 893]
Episode 291/400 | Steps 1006 | Raw 0.0 | Shaped 100.60 | Eps 0.0500
Episode 292/400 | Steps 786 | Raw 0.0 | Shaped 78.60 | Eps 0.0500
Episode 293/400 | Steps 678 | Raw 0.0 | Shaped 67.80 | Eps 0.0500
Episode 294/400 | Steps 705 | Raw 0.0 | Shaped 70.50 | Eps 0.0500
Episode 295/400 | Steps 1071 | Raw 0.0 | Shaped 107.10 | Eps 0.0500
Episode 296/400 | Steps 784 | Raw 0.0 | Shaped 78.40 | Eps 0.0500
Episode 297/400 | Steps 635 | Raw 0.0 | Shaped 63.50 | Eps 0.0500
